Price,Close,High,Low,Open,Volume
Ticker,^SP500TR,^SP500TR,^SP500TR,^SP500TR,^SP500TR
Date,,,,,
2000-08-04,2026.4000244140625,2026.4000244140625,2026.4000244140625,2026.4000244140625,0
2000-08-07,2049.139892578125,2049.139892578125,2049.139892578125,2049.139892578125,0
2000-08-08,2054.1201171875,2054.1201171875,2054.1201171875,2054.1201171875,0
2000-08-09,2040.550048828125,2040.550048828125,2040.550048828125,2040.550048828125,0
2000-08-10,2023.3299560546875,2023.3299560546875,2023.3299560546875,2023.3299560546875,0
2000-08-11,2039.510009765625,2039.510009765625,2039.510009765625,2039.510009765625,0
2000-08-14,2066.89990234375,2066.89990234375,2066.89990234375,2066.89990234375,0
2000-08-15,2057.030029296875,2057.030029296875,2057.030029296875,2057.030029296875,0
2000-08-16,2050.929931640625,2050.929931640625,2050.929931640625,2050.929931640625,0
2000-08-17,2073.43994140625,2073.43994140625,2073.43994140625,2073.43994140625,0
2000-08-18,2067.47998046875,2067.47998046875,2067.47998046875,2067.47998046875,0
2000-08-21,2078.25,2078.25,2078.25,2078.25,0
2000-08-22,2076.3798828125,2076.3798828125,2076.3798828125,2076.3798828125,0
2000-08-23,2087.39990234375,2087.39990234375,2087.39990234375,2087.39990234375,0
2000-08-24,2090.659912109375,2090.659912109375,2090.659912109375,2090.659912109375,0
2000-08-25,2088.10009765625,2088.10009765625,2088.10009765625,2088.10009765625,0
2000-08-28,2098.719970703125,2098.719970703125,2098.719970703125,2098.719970703125,0
2000-08-29,2092.989990234375,2092.989990234375,2092.989990234375,2092.989990234375,0
2000-08-30,2083.47998046875,2083.47998046875,2083.47998046875,2083.47998046875,0
2000-08-31,2104.429931640625,2104.429931640625,2104.429931640625,2104.429931640625,0
2000-09-01,2108.760009765625,2108.760009765625,2108.760009765625,2108.760009765625,0
2000-09-05,2089.77001953125,2089.77001953125,2089.77001953125,2089.77001953125,0
2000-09-06,2069.39990234375,2069.39990234375,2069.39990234375,2069.39990234375,0
2000-09-07,2083.679931640625,2083.679931640625,2083.679931640625,2083.679931640625,0
2000-09-08,2072.580078125,2072.580078125,2072.580078125,2072.580078125,0
2000-09-11,2065.340087890625,2065.340087890625,2065.340087890625,2065.340087890625,0
2000-09-12,2055.260009765625,2055.260009765625,2055.260009765625,2055.260009765625,0
2000-09-13,2059.77001953125,2059.77001953125,2059.77001953125,2059.77001953125,0
2000-09-14,2054.2099609375,2054.2099609375,2054.2099609375,2054.2099609375,0
2000-09-15,2033.3199462890625,2033.3199462890625,2033.3199462890625,2033.3199462890625,0
2000-09-18,2003.81005859375,2003.81005859375,2003.81005859375,2003.81005859375,0
2000-09-19,2025.1700439453125,2025.1700439453125,2025.1700439453125,2025.1700439453125,0
2000-09-20,2013.3399658203125,2013.3399658203125,2013.3399658203125,2013.3399658203125,0
2000-09-21,2010.2099609375,2010.2099609375,2010.2099609375,2010.2099609375,0
2000-09-22,2009.760009765625,2009.760009765625,2009.760009765625,2009.760009765625,0
2000-09-25,1996.3199462890625,1996.3199462890625,1996.3199462890625,1996.3199462890625,0
2000-09-26,1979.9200439453125,1979.9200439453125,1979.9200439453125,1979.9200439453125,0
2000-09-27,1979.31005859375,1979.31005859375,1979.31005859375,1979.31005859375,0
2000-09-28,2023.3299560546875,2023.3299560546875,2023.3299560546875,2023.3299560546875,0
2000-09-29,1993.3299560546875,1993.3299560546875,1993.3299560546875,1993.3299560546875,0
2000-10-02,1992.93994140625,1992.93994140625,1992.93994140625,1992.93994140625,0
2000-10-03,1979.43994140625,1979.43994140625,1979.43994140625,1979.43994140625,0
2000-10-04,1990.6199951171875,1990.6199951171875,1990.6199951171875,1990.6199951171875,0
2000-10-05,1993.699951171875,1993.699951171875,1993.699951171875,1993.699951171875,0
2000-10-06,1955.8199462890625,1955.8199462890625,1955.8199462890625,1955.8199462890625,0
2000-10-09,1946.1600341796875,1946.1600341796875,1946.1600341796875,1946.1600341796875,0
2000-10-10,1925.4100341796875,1925.4100341796875,1925.4100341796875,1925.4100341796875,0
2000-10-11,1894.3699951171875,1894.3699951171875,1894.3699951171875,1894.3699951171875,0
2000-10-12,1846.0799560546875,1846.0799560546875,1846.0799560546875,1846.0799560546875,0
2000-10-13,1907.7099609375,1907.7099609375,1907.7099609375,1907.7099609375,0
2000-10-16,1908.3399658203125,1908.3399658203125,1908.3399658203125,1908.3399658203125,0
2000-10-17,1874.1199951171875,1874.1199951171875,1874.1199951171875,1874.1199951171875,0
2000-10-18,1863.3499755859375,1863.3499755859375,1863.3499755859375,1863.3499755859375,0
2000-10-19,1928.0999755859375,1928.0999755859375,1928.0999755859375,1928.0999755859375,0
2000-10-20,1939.43994140625,1939.43994140625,1939.43994140625,1939.43994140625,0
2000-10-23,1937.8599853515625,1937.8599853515625,1937.8599853515625,1937.8599853515625,0
2000-10-24,1941.1300048828125,1941.1300048828125,1941.1300048828125,1941.1300048828125,0
2000-10-25,1895.030029296875,1895.030029296875,1895.030029296875,1895.030029296875,0
2000-10-26,1894.4200439453125,1894.4200439453125,1894.4200439453125,1894.4200439453125,0
2000-10-27,1915.550048828125,1915.550048828125,1915.550048828125,1915.550048828125,0
2000-10-30,1942.199951171875,1942.199951171875,1942.199951171875,1942.199951171875,0
2000-10-31,1984.9100341796875,1984.9100341796875,1984.9100341796875,1984.9100341796875,0
2000-11-01,1973.719970703125,1973.719970703125,1973.719970703125,1973.719970703125,0
2000-11-02,1983.72998046875,1983.72998046875,1983.72998046875,1983.72998046875,0
2000-11-03,1981.5,1981.5,1981.5,1981.5,0
2000-11-06,1989.18994140625,1989.18994140625,1989.18994140625,1989.18994140625,0
2000-11-07,1988.800048828125,1988.800048828125,1988.800048828125,1988.800048828125,0
2000-11-08,1957.6199951171875,1957.6199951171875,1957.6199951171875,1957.6199951171875,0
2000-11-09,1945.239990234375,1945.239990234375,1945.239990234375,1945.239990234375,0
2000-11-10,1897.780029296875,1897.780029296875,1897.780029296875,1897.780029296875,0
2000-11-13,1877.510009765625,1877.510009765625,1877.510009765625,1877.510009765625,0
2000-11-14,1921.6700439453125,1921.6700439453125,1921.6700439453125,1921.6700439453125,0
2000-11-15,1931.43994140625,1931.43994140625,1931.43994140625,1931.43994140625,0
2000-11-16,1907.199951171875,1907.199951171875,1907.199951171875,1907.199951171875,0
2000-11-17,1900.8800048828125,1900.8800048828125,1900.8800048828125,1900.8800048828125,0
2000-11-20,1866.010009765625,1866.010009765625,1866.010009765625,1866.010009765625,0
2000-11-21,1872.719970703125,1872.719970703125,1872.719970703125,1872.719970703125,0
2000-11-22,1838.0,1838.0,1838.0,1838.0,0
2000-11-24,1865.0,1865.0,1865.0,1865.0,0
2000-11-27,1875.010009765625,1875.010009765625,1875.010009765625,1875.010009765625,0
2000-11-28,1857.300048828125,1857.300048828125,1857.300048828125,1857.300048828125,0
2000-11-29,1865.8900146484375,1865.8900146484375,1865.8900146484375,1865.8900146484375,0
2000-11-30,1828.4200439453125,1828.4200439453125,1828.4200439453125,1828.4200439453125,0
2000-12-01,1828.81005859375,1828.81005859375,1828.81005859375,1828.81005859375,0
2000-12-04,1842.3599853515625,1842.3599853515625,1842.3599853515625,1842.3599853515625,0
2000-12-05,1914.0899658203125,1914.0899658203125,1914.0899658203125,1914.0899658203125,0
2000-12-06,1879.5799560546875,1879.5799560546875,1879.5799560546875,1879.5799560546875,0
2000-12-07,1868.6400146484375,1868.6400146484375,1868.6400146484375,1868.6400146484375,0
2000-12-08,1905.2900390625,1905.2900390625,1905.2900390625,1905.2900390625,0
2000-12-11,1919.6500244140625,1919.6500244140625,1919.6500244140625,1919.6500244140625,0
2000-12-12,1907.0999755859375,1907.0999755859375,1907.0999755859375,1907.0999755859375,0
