Date,SPY,GLD
2000-01-03,,92.14253997802734
2000-01-04,,88.53916931152344
2000-01-05,,88.69757843017578
2000-01-06,,87.27208709716797
2000-01-07,,92.34053039550781
2000-01-10,,92.65727233886719
2000-01-11,,91.54859161376953
2000-01-12,,90.6378173828125
2000-01-13,,91.86536407470703
2000-01-14,,93.11266326904297
2000-01-18,,92.380126953125
2000-01-19,,93.13240814208984
2000-01-20,,91.70698547363281
2000-01-21,,91.50895690917969
2000-01-24,,88.91536712646484
2000-01-25,,89.92508697509766
2000-01-26,,89.21233367919922
2000-01-27,,88.85594940185547
2000-01-28,,86.08416748046875
2000-01-31,,88.42041015625
2000-02-01,,89.29154205322266
2000-02-02,,89.3707275390625
2000-02-03,,90.717041015625
2000-02-04,,90.3408432006836
2000-02-07,,90.2022476196289
2000-02-08,,91.42975616455078
2000-02-09,,89.50933074951172
2000-02-10,,89.68751525878906
2000-02-11,,87.86605834960938
2000-02-14,,88.38077545166016
2000-02-15,,89.3806381225586
2000-02-16,,88.06401824951172
2000-02-17,,87.60868072509766
2000-02-18,,85.72776794433594
2000-02-22,,85.51004791259766
2000-02-23,,86.51973724365234
2000-02-24,,84.77748107910156
2000-02-25,,84.47058868408203
2000-02-28,,86.24252319335938
2000-02-29,,87.07410430908203
2000-03-01,,87.70767211914062
2000-03-02,,87.76701354980469
2000-03-03,,89.41032409667969
2000-03-06,,88.53916931152344
2000-03-07,,86.82661437988281
2000-03-08,,86.71774291992188
2000-03-09,,89.25191497802734
2000-03-10,,88.7767562866211
2000-03-13,,87.80663299560547
2000-03-14,,86.55934143066406
2000-03-15,,88.57880401611328
2000-03-16,,92.71669006347656
2000-03-17,,93.3294906616211
2000-03-20,,92.8530502319336
2000-03-21,,94.75861358642578
2000-03-22,,95.33419799804688
2000-03-23,,96.9618148803711
2000-03-24,,97.53741455078125
2000-03-27,,96.50529479980469
2000-03-28,,95.949462890625
2000-03-29,,96.04875946044922
2000-03-30,,94.44099426269531
2000-03-31,,95.51280975341797
2000-04-03,,96.0686264038086
2000-04-04,,95.35405731201172
2000-04-05,,94.75861358642578
2000-04-06,,95.58226776123047
2000-04-07,,96.18768310546875
2000-04-10,,95.81053161621094
2000-04-11,,95.53270721435547
2000-04-12,,92.91262817382812
2000-04-13,,91.62248229980469
2000-04-14,,86.38232421875
2000-04-17,,89.39936828613281
2000-04-18,,91.7613754272461
2000-04-19,,90.90791320800781
2000-04-20,,91.34457397460938
2000-04-24,,90.3520736694336
2000-04-25,,94.10357666015625
2000-04-26,,93.04164123535156
2000-04-27,,92.73396301269531
2000-04-28,,92.15834045410156
2000-05-01,,93.40886688232422
2000-05-02,,91.5430679321289
2000-05-03,,89.39936828613281
2000-05-04,,90.07424926757812
2000-05-05,,91.16593933105469
2000-05-08,,90.48114776611328
2000-05-09,,89.75669860839844
2000-05-10,,87.7320785522461
2000-05-11,,89.73681640625
2000-05-12,,90.70941162109375
2000-05-15,,92.2774887084961
2000-05-16,,93.17066192626953
2000-05-17,,92.19806671142578
2000-05-18,,91.06671142578125
2000-05-19,,89.63755798339844
2000-05-22,,88.96270751953125
2000-05-23,,87.65267944335938
2000-05-24,,89.08177947998047
2000-05-25,,87.55345916748047
2000-05-26,,87.65267944335938
2000-05-30,,90.51092529296875
2000-05-31,,90.70941162109375
2000-06-01,,92.29731750488281
2000-06-02,,93.90506744384766
2000-06-05,,93.4486083984375
2000-06-06,,93.03173828125
2000-06-07,,93.67682647705078
2000-06-08,,93.30963134765625
2000-06-09,,93.11114501953125
2000-06-12,,92.0194320678711
2000-06-13,,93.74628448486328
2000-06-14,,93.90506744384766
2000-06-15,,94.10357666015625
2000-06-16,,93.33033752441406
2000-06-19,,94.52409362792969
2000-06-20,,94.18582153320312
2000-06-21,,94.14602661132812
2000-06-22,,92.71356964111328
2000-06-23,,91.9177474975586
2000-06-26,,93.1015625
2000-06-27,,92.41512298583984
2000-06-28,,92.67378234863281
2000-06-29,,91.79840087890625
2000-06-30,,92.49471282958984
2000-07-03,,93.76805877685547
2000-07-05,,92.07695770263672
2000-07-06,,92.79317474365234
2000-07-07,,94.28533935546875
2000-07-10,,94.12617492675781
2000-07-11,,94.32513427734375
2000-07-12,,94.9419174194336
2000-07-13,,95.35970306396484
2000-07-14,,96.29480743408203
2000-07-17,,96.1356201171875
2000-07-18,,95.34973907470703
2000-07-19,,94.58377838134766
2000-07-20,,95.89688873291016
2000-07-21,,94.02666473388672
2000-07-24,,93.48951721191406
2000-07-25,,93.78792572021484
2000-07-26,,92.87274169921875
2000-07-27,,92.55438232421875
2000-07-28,,90.46537017822266
2000-07-31,,91.04236602783203
2000-08-01,,91.59941864013672
2000-08-02,,92.05703735351562
2000-08-03,,92.69371032714844
2000-08-04,,93.19102478027344
2000-08-07,,94.30520629882812
2000-08-08,,94.663330078125
2000-08-09,,93.86753845214844
2000-08-10,,93.4099349975586
2000-08-11,,93.84761047363281
2000-08-14,,95.04137420654297
2000-08-15,,94.9617919921875
2000-08-16,,94.6235580444336
2000-08-17,,95.61833953857422
2000-08-18,,95.30001831054688
2000-08-21,,95.81733703613281
2000-08-22,,95.6581039428711
2000-08-23,,96.03614807128906
2000-08-24,,96.33457946777344
2000-08-25,,96.29480743408203
2000-08-28,,96.6230239868164
2000-08-29,,96.64299011230469
2000-08-30,,95.71781921386719
2000-08-31,,96.99115753173828
2000-09-01,,97.09059143066406
2000-09-05,,96.31470489501953
2000-09-06,,95.22044372558594
2000-09-07,,96.03614807128906
2000-09-08,,95.37957763671875
